Pixel Number,405 nm(ADC counts),450 nm(ADC counts),MercuryLamp(ADC counts)
0,184.04145,123.056,140.52038
1,188.35765,125.5131,141.82975
2,192.60582,127.93212,143.12514
3,196.78597,130.31306,144.40654
4,200.8981,132.6559,145.67397
5,204.94221,134.96067,146.92741
6,208.91829,137.22734,148.16688
7,212.82635,139.45593,149.39236
8,216.66639,141.64644,150.60386
9,220.43841,143.79885,151.80138
10,224.1424,145.91319,152.98491
11,227.77837,147.98943,154.15447
12,231.34632,150.02759,155.31004
13,234.84624,152.02766,156.45163
14,238.27814,153.98965,157.57925
15,241.64202,155.91355,158.69288
16,244.93788,157.79937,159.79252
17,248.16571,159.6471,160.87819
18,251.32552,161.45674,161.94988
19,254.41731,163.2283,163.00758
20,257.44108,164.96177,164.0513
21,260.39682,166.65715,165.08105
22,263.28454,168.31445,166.09681
23,266.10424,169.93366,167.09859
24,268.85591,171.51479,168.08638
25,271.53956,173.05783,169.0602
26,274.15519,174.56279,170.02003
27,276.7028,176.02966,170.96589
28,279.18238,177.45844,171.89776
29,281.59395,178.84913,172.81565
30,283.93748,180.20175,173.71956
31,286.213,181.51627,174.60949
32,288.42049,182.79271,175.48543
33,290.55997,184.03106,176.3474
34,292.63141,185.23133,177.19538
35,294.63484,186.39351,178.02938
36,296.57024,187.5176,178.8494
37,298.43762,188.60361,179.65544
38,300.23698,189.65153,180.4475
39,301.96831,190.66137,181.22558
40,303.63163,191.63312,181.98967
41,305.22692,192.56678,182.73978
42,306.75418,193.46236,183.47592
43,308.21343,194.31985,184.19807
44,309.60465,195.13926,184.90624
45,310.92785,195.92057,185.60042
46,312.18302,196.66381,186.28063
47,313.37018,197.36896,186.94686
48,314.48931,198.03602,187.5991
49,315.54041,198.66499,188.23736
50,316.5235,199.25588,188.86164
51,315.96846,200.0223,189.47194
52,314.83363,199.19065,190.06826
53,314.76447,198.41918,190.6506
54,315.60519,197.98856,191.21895
55,314.8659,198.41259,191.77333
56,313.98183,197.46306,192.31372
57,313.40563,196.73734,192.84013
58,313.65969,196.11044,193.35256
59,312.73281,196.61555,193.85101
60,311.50842,195.857,194.33548
61,311.06803,195.76298,194.80596
62,310.39688,195.16832,195.26247
63,309.07521,194.6667,195.70499
64,307.70016,193.8371,196.13353
65,307.71151,194.32893,196.54809
66,306.9841,193.9621,196.94867
67,306.7489,194.63467,197.33527
68,306.68779,194.55055,197.70788
69,306.8021,194.43501,198.06652
70,307.89443,194.69243,198.41117
71,307.74015,195.41088,198.74184
72,307.50543,194.97962,199.05853
73,308.3542,194.65053,199.36124
74,308.9108,194.96121,199.64997
75,308.24158,195.22113,199.92471
76,307.05691,195.43554,200.18242
77,307.37203,195.12506,199.1083
78,308.04217,194.71306,198.95375
79,307.72334,195.31978,198.75201
80,307.37637,195.53021,198.50069
81,307.36911,195.54534,197.68414
82,307.76182,195.30907,197.67163
83,307.62114,196.02359,197.15002
84,308.01656,195.60589,196.82406
85,308.08902,195.42647,196.26564
86,307.62647,195.37568,196.4448
