Wavelength,Raw_Spectrum,Smoothed_Spectrum,,,# Smoothing method: Savitzky-Golay
400.03188,393,408.9346,,,# Window length: 50 points
400.19923,389,408.94879,,,# Polynomial order: 2
400.36659,425,408.95741,,,
400.53396,428,408.96048,,,
400.70135,399,408.95798,,,
400.86876,396,408.94993,,,
401.03618,417,408.93633,,,
401.20361,428,408.91716,,,
401.37106,419,408.89244,,,
401.53853,409,408.86215,,,
401.70601,400,408.82631,,,
401.8735,399,408.78491,,,
402.04101,414,408.73796,,,
402.20854,396,408.68544,,,
402.37608,415,408.62737,,,
402.54363,448,408.56374,,,
402.7112,397,408.49455,,,
402.87879,431,408.4198,,,
403.04639,420,408.3395,,,
403.214,429,408.25364,,,
403.38163,360,408.16221,,,
403.54928,405,408.06523,,,
403.71694,385,407.9627,,,
403.88462,405,407.8546,,,
404.05231,414,407.74095,,,
404.22001,388,407.62174,,,
404.38773,393,407.87472,,,
404.55547,419,406.85053,,,
404.72322,383,406.91035,,,
404.89099,441,407.00036,,,
405.05877,420,406.00181,,,
405.22656,410,405.1504,,,
405.39437,366,404.24703,,,
405.5622,418,404.61544,,,
405.73004,400,405.04116,,,
405.8979,404,405.44674,,,
406.06577,412,404.76362,,,
406.23365,409,404.11973,,,
406.40155,414,403.87581,,,
406.56947,417,402.84867,,,
406.7374,388,402.29296,,,
406.90535,431,402.91137,,,
407.07331,409,402.02852,,,
407.24129,382,403.44798,,,
407.40928,424,404.93352,,,
407.57728,395,405.19251,,,
407.7453,424,404.22263,,,
407.91334,404,405.23908,,,
408.08139,379,404.39512,,,
408.24946,399,404.71972,,,
408.41754,408,405.31919,,,
408.58564,369,405.56173,,,
408.75375,401,406.01336,,,
408.92188,399,404.42209,,,
409.09002,404,403.34603,,,
409.25817,414,405.26431,,,
409.42635,405,406.35339,,,
409.59453,430,405.83186,,,
409.76273,403,404.778,,,
409.93095,394,405.3256,,,
410.09918,383,405.1832,,,
410.26743,409,404.93506,,,
410.43569,406,404.6667,,,
410.60397,408,405.32816,,,
410.77226,418,405.69168,,,
410.94057,424,406.28481,,,
411.10889,426,405.43002,,,
411.27723,434,407.05423,,,
411.44558,393,406.77848,,,
411.61395,380,405.8976,,,
411.78233,435,406.45068,,,
411.95073,409,406.29514,,,
412.11914,380,407.03882,,,
412.28757,420,407.58008,,,
412.45601,399,406.69084,,,
412.62447,398,406.80645,,,
412.79294,380,406.86475,,,
412.96143,369,405.70894,,,
413.12993,467,404.30506,,,
413.29845,420,404.00428,,,
413.46698,376,402.83155,,,
413.63553,383,403.30991,,,
413.80409,430,403.14089,,,
413.97267,403,403.68427,,,
414.14126,397,403.31543,,,
414.30987,402,403.45917,,,
414.47849,409,402.63501,,,
414.64713,420,402.91986,,,
414.81578,386,401.86582,,,
414.98445,400,401.72604,,,
415.15314,396,401.23235,,,
415.32183,416,402.58685,,,
415.49055,374,403.15183,,,
415.65928,418,404.58572,,,
415.82802,412,404.3702,,,
415.99678,406,404.02936,,,
416.16555,402,405.15316,,,
416.33434,401,405.35131,,,
416.50314,388,403.3774,,,
416.67196,408,404.26578,,,
416.84079,390,403.60742,,,
417.00964,399,403.67857,,,
417.17851,397,402.46024,,,
417.34738,436,400.37903,,,
417.51628,398,401.34848,,,
417.68519,434,401.56683,,,
417.85411,390,400.04924,,,
418.02305,402,399.23692,,,
418.192,405,400.24182,,,
418.36097,412,399.28415,,,
418.52996,383,398.25124,,,
418.69895,399,398.74321,,,
418.86797,383,398.98974,,,
419.037,426,399.42676,,,
419.20604,399,398.80586,,,
419.3751,424,398.89488,,,
419.54418,369,398.40035,,,
419.71326,398,398.87646,,,
419.88237,379,397.24209,,,
420.05149,393,398.51779,,,
420.22062,378,399.31111,,,
420.38977,380,398.64756,,,
420.55894,386,398.27072,,,
420.72812,431,398.00077,,,
420.89731,374,397.01726,,,
421.06652,405,397.06256,,,
421.23574,377,396.80056,,,
421.40498,398,396.54343,,,
421.57424,412,394.97608,,,
421.74351,412,395.31077,,,
421.91279,400,395.12209,,,
422.08209,416,396.22796,,,
422.25141,396,395.28368,,,
422.42074,380,394.88781,,,
422.59008,423,392.89853,,,
422.75944,424,393.79934,,,
422.92882,377,394.33971,,,
423.09821,390,394.62894,,,
423.26761,396,393.46334,,,
423.43703,398,393.75234,,,
423.60647,385,393.97889,,,
423.77592,399,395.34549,,,
423.94538,386,394.91796,,,
424.11486,415,395.49394,,,
424.28436,357,394.35421,,,
424.45387,363,394.05579,,,
424.62339,406,393.07155,,,
424.79293,394,392.30531,,,
424.96249,389,391.21423,,,
425.13206,399,392.25396,,,
425.30164,383,391.56148,,,
425.47124,372,392.1251,,,
425.64086,376,391.31009,,,
425.81049,419,391.64837,,,
425.98013,400,391.50583,,,
426.1498,383,392.05332,,,
426.31947,376,392.53052,,,
426.48916,404,393.48805,,,
426.65887,399,394.15217,,,
426.82859,465,393.68002,,,
426.99832,382,394.85141,,,
427.16808,361,395.95597,,,
427.33784,380,395.28003,,,
427.50762,413,394.95148,,,
427.67742,412,395.27486,,,
427.84723,392,395.31964,,,
428.01705,380,395.71979,,,
428.1869,384,396.00428,,,
428.35675,374,395.76187,,,
428.52662,412,396.30148,,,
428.69651,398,395.39854,,,
428.86641,406,394.69687,,,
429.03633,399,394.4119,,,
429.20626,416,394.20034,,,
429.3762,393,393.61422,,,
429.54617,396,394.10974,,,
429.71614,382,393.11796,,,
429.88613,399,392.59564,,,
430.05614,378,390.83837,,,
430.22616,410,390.9889,,,
430.3962,391,388.96777,,,
430.56625,382,388.70615,,,
430.73632,382,387.85302,,,
430.9064,371,386.82826,,,
431.07649,390,387.16093,,,
431.24661,377,389.43593,,,
431.41673,384,389.30261,,,
431.58688,399,388.43795,,,
431.75703,400,387.41179,,,
431.9272,384,387.85429,,,
432.09739,396,387.67299,,,
432.26759,369,387.34746,,,
432.43781,384,386.3946,,,
432.60804,388,386.61795,,,
432.77829,392,385.15196,,,
432.94855,381,385.06992,,,
433.11883,371,385.29681,,,
433.28912,397,385.4336,,,
433.45943,384,385.64314,,,
433.62975,391,385.97866,,,
433.80009,362,384.77657,,,
433.97044,394,385.42606,,,
434.14081,362,384.67456,,,
434.31119,403,385.0188,,,
434.48159,383,384.26182,,,
434.652,446,385.13384,,,
434.82243,373,384.84974,,,
434.99287,381,383.94251,,,
435.16333,416,384.28293,,,
435.3338,367,384.84883,,,
435.50429,371,385.02034,,,
435.67479,373,384.74434,,,
435.84531,370,384.05776,,,
436.01584,389,384.38182,,,
436.18639,372,383.8884,,,
436.35695,396,383.65571,,,
436.52753,384,383.20139,,,
436.69812,393,382.5225,,,
436.86873,353,381.09291,,,
437.03935,396,380.87979,,,
437.20999,389,381.26768,,,
437.38065,366,380.99105,,,
437.55131,377,380.56574,,,
437.722,368,381.01022,,,
437.8927,383,380.71204,,,
438.06341,419,381.46862,,,
438.23414,362,380.66026,,,
438.40488,395,380.55904,,,
438.57564,376,379.24186,,,
438.74641,393,380.08947,,,
438.9172,371,380.09155,,,
439.088,394,381.66221,,,
439.25882,410,380.99941,,,
439.42966,368,380.28798,,,
439.6005,342,380.95214,,,
439.77137,368,381.47598,,,
439.94225,367,382.15937,,,
440.11314,386,383.32923,,,
440.28405,367,384.00326,,,
440.45497,399,384.97162,,,
440.62591,377,385.12999,,,
440.79687,399,385.62033,,,
440.96784,381,385.94299,,,
441.13882,424,387.16456,,,
441.30982,392,386.02938,,,
441.48083,377,387.22882,,,
441.65186,389,387.73927,,,
441.82291,383,387.09547,,,
441.99396,379,386.8843,,,
442.16504,393,386.84013,,,
442.33613,364,385.83039,,,
442.50723,385,387.8788,,,
442.67835,393,387.37684,,,
442.84949,404,388.51134,,,
443.02064,372,388.71685,,,
443.1918,381,389.29425,,,
