Wavelength,Raw_Spectrum,Smoothed_Spectrum,,,# Smoothing method: Savitzky-Golay
400.03188,309,306.29856,,,# Window length: 50 points
400.19923,282,306.98436,,,# Polynomial order: 2
400.36659,332,307.6394,,,
400.53396,319,308.26368,,,
400.70135,290,308.85719,,,
400.86876,301,309.41995,,,
401.03618,317,309.95194,,,
401.20361,336,310.45316,,,
401.37106,292,310.92363,,,
401.53853,317,311.36333,,,
401.70601,300,311.77228,,,
401.8735,310,312.15046,,,
402.04101,293,312.49787,,,
402.20854,303,312.81453,,,
402.37608,350,313.10042,,,
402.54363,334,313.35555,,,
402.7112,298,313.57992,,,
402.87879,329,313.77353,,,
403.04639,330,313.93637,,,
403.214,344,314.06845,,,
403.38163,282,314.16977,,,
403.54928,317,314.24033,,,
403.71694,306,314.28012,,,
403.88462,306,314.28915,,,
404.05231,312,314.26742,,,
404.22001,297,314.21493,,,
404.38773,301,314.43374,,,
404.55547,308,313.3794,,,
404.72322,289,313.66319,,,
404.89099,356,313.7411,,,
405.05877,304,312.25391,,,
405.22656,321,311.76586,,,
405.39437,317,311.13239,,,
405.5622,318,311.91481,,,
405.73004,271,311.02707,,,
405.8979,300,311.74206,,,
406.06577,321,310.41822,,,
406.23365,328,309.79356,,,
406.40155,304,308.46882,,,
406.56947,333,307.19645,,,
406.7374,296,307.54062,,,
406.90535,322,307.69827,,,
407.07331,303,306.8453,,,
407.24129,315,307.77639,,,
407.40928,330,309.6978,,,
407.57728,319,309.94645,,,
407.7453,303,309.41924,,,
407.91334,318,310.54692,,,
408.08139,284,310.64205,,,
408.24946,294,310.83463,,,
408.41754,294,310.72316,,,
408.58564,294,310.96985,,,
408.75375,305,310.03373,,,
408.92188,308,309.24392,,,
409.09002,304,307.80878,,,
409.25817,328,309.34427,,,
409.42635,303,307.96908,,,
409.59453,324,307.21282,,,
409.76273,298,307.32737,,,
409.93095,310,307.8607,,,
410.09918,276,306.58092,,,
410.26743,326,304.93157,,,
410.43569,313,304.29432,,,
410.60397,319,304.69263,,,
410.77226,327,304.98519,,,
410.94057,325,305.38628,,,
411.10889,324,305.12191,,,
411.27723,326,306.26798,,,
411.44558,297,305.68131,,,
411.61395,262,306.50764,,,
411.78233,336,307.27332,,,
411.95073,303,307.38492,,,
412.11914,276,307.3745,,,
412.28757,296,307.86047,,,
412.45601,289,307.12927,,,
412.62447,303,307.75372,,,
412.79294,271,307.44914,,,
412.96143,310,307.29527,,,
413.12993,312,306.34406,,,
413.29845,314,306.87658,,,
413.46698,281,306.09889,,,
413.63553,332,306.74593,,,
413.80409,334,306.37251,,,
413.97267,305,306.28438,,,
414.14126,292,306.10163,,,
414.30987,302,307.21817,,,
414.47849,342,306.89796,,,
414.64713,335,307.91812,,,
414.81578,313,307.99574,,,
414.98445,293,308.18247,,,
415.15314,320,308.38984,,,
415.32183,308,309.58239,,,
